Number of parameters: 24,627,840
Attention order: 3
step 0: train loss 10.8512, val loss 10.8424
iter 0: loss 10.8662, time 60396.97ms, mfu -100.00%
iter 1: loss 10.8532, time 1229.98ms, mfu -100.00%
iter 2: loss 10.8420, time 1417.55ms, mfu -100.00%
iter 3: loss 10.7948, time 1420.15ms, mfu -100.00%
iter 4: loss 10.7116, time 1420.85ms, mfu -100.00%
iter 5: loss 10.6372, time 1919.54ms, mfu 0.10%
iter 6: loss 10.4568, time 1984.47ms, mfu 0.10%
iter 7: loss 10.2075, time 2004.87ms, mfu 0.10%
iter 8: loss 10.3138, time 1985.07ms, mfu 0.10%
iter 9: loss 10.1309, time 2011.30ms, mfu 0.10%
iter 10: loss 9.9587, time 1993.85ms, mfu 0.10%
iter 11: loss 9.9361, time 2885.01ms, mfu 0.10%
iter 12: loss 9.7374, time 4809.52ms, mfu 0.09%
iter 13: loss 9.7452, time 4383.39ms, mfu 0.09%
iter 14: loss 9.6313, time 2083.52ms, mfu 0.09%
iter 15: loss 9.5564, time 4814.26ms, mfu 0.08%
iter 16: loss 9.4636, time 2477.21ms, mfu 0.08%
iter 17: loss 9.4794, time 2103.13ms, mfu 0.08%
iter 18: loss 9.1594, time 2121.77ms, mfu 0.09%
iter 19: loss 9.1191, time 2101.53ms, mfu 0.09%
iter 20: loss 9.1286, time 2387.07ms, mfu 0.09%
iter 21: loss 9.0489, time 4808.50ms, mfu 0.08%
iter 22: loss 8.9190, time 4807.64ms, mfu 0.08%
iter 23: loss 8.8187, time 4814.82ms, mfu 0.07%
iter 24: loss 8.7006, time 2798.59ms, mfu 0.07%
iter 25: loss 8.5726, time 2572.90ms, mfu 0.07%
iter 26: loss 8.5364, time 4807.33ms, mfu 0.07%
iter 27: loss 8.1703, time 2103.31ms, mfu 0.07%
iter 28: loss 8.2478, time 1759.32ms, mfu 0.08%
iter 29: loss 8.0641, time 4581.77ms, mfu 0.07%
iter 30: loss 7.9675, time 4806.94ms, mfu 0.07%
iter 31: loss 7.6834, time 4809.07ms, mfu 0.07%
iter 32: loss 7.7252, time 3548.84ms, mfu 0.07%
iter 33: loss 7.5474, time 1797.76ms, mfu 0.07%
iter 34: loss 7.5288, time 1857.17ms, mfu 0.07%
iter 35: loss 7.3072, time 3780.74ms, mfu 0.07%
iter 36: loss 7.0325, time 4461.96ms, mfu 0.07%
iter 37: loss 7.1162, time 4781.68ms, mfu 0.07%
iter 38: loss 6.9930, time 4786.11ms, mfu 0.06%
iter 39: loss 7.0205, time 3806.57ms, mfu 0.06%
iter 40: loss 6.7040, time 2481.26ms, mfu 0.06%
iter 41: loss 6.5484, time 3280.57ms, mfu 0.06%
iter 42: loss 6.3767, time 4826.94ms, mfu 0.06%
iter 43: loss 6.5659, time 3126.94ms, mfu 0.06%
iter 44: loss 6.4169, time 1647.54ms, mfu 0.07%
