Number of parameters: 24,185,472
Attention order: 2
step 0: train loss 10.9060, val loss 10.8956
iter 0: loss 10.9041, time 5370.33ms, mfu -100.00%
iter 1: loss 10.8839, time 79.27ms, mfu -100.00%
iter 2: loss 10.8687, time 94.95ms, mfu -100.00%
iter 3: loss 10.8401, time 96.98ms, mfu -100.00%
iter 4: loss 10.7869, time 94.84ms, mfu -100.00%
iter 5: loss 10.6553, time 95.50ms, mfu 2.04%
iter 6: loss 10.4943, time 95.38ms, mfu 2.04%
iter 7: loss 10.4167, time 95.34ms, mfu 2.04%
iter 8: loss 10.3177, time 95.16ms, mfu 2.04%
iter 9: loss 10.1820, time 95.59ms, mfu 2.04%
iter 10: loss 10.0117, time 95.11ms, mfu 2.05%
iter 11: loss 9.8897, time 95.18ms, mfu 2.05%
iter 12: loss 9.8570, time 95.69ms, mfu 2.05%
iter 13: loss 9.7349, time 96.50ms, mfu 2.04%
iter 14: loss 9.7574, time 95.96ms, mfu 2.04%
iter 15: loss 9.5874, time 95.02ms, mfu 2.04%
iter 16: loss 9.5282, time 95.39ms, mfu 2.04%
iter 17: loss 9.2350, time 95.35ms, mfu 2.04%
iter 18: loss 9.3140, time 95.27ms, mfu 2.04%
iter 19: loss 9.1991, time 95.22ms, mfu 2.04%
iter 20: loss 9.2026, time 95.17ms, mfu 2.05%
iter 21: loss 9.1554, time 95.06ms, mfu 2.05%
iter 22: loss 8.9840, time 95.24ms, mfu 2.05%
iter 23: loss 8.7926, time 95.23ms, mfu 2.05%
iter 24: loss 8.5459, time 96.26ms, mfu 2.04%
iter 25: loss 8.5297, time 94.65ms, mfu 2.05%
iter 26: loss 8.4871, time 95.45ms, mfu 2.05%
iter 27: loss 8.4486, time 95.70ms, mfu 2.05%
iter 28: loss 8.2084, time 95.97ms, mfu 2.04%
iter 29: loss 8.0937, time 94.55ms, mfu 2.05%
iter 30: loss 8.0898, time 95.53ms, mfu 2.05%
iter 31: loss 7.7680, time 95.28ms, mfu 2.05%
iter 32: loss 7.4914, time 95.27ms, mfu 2.05%
iter 33: loss 7.4535, time 94.89ms, mfu 2.05%
iter 34: loss 7.2495, time 95.39ms, mfu 2.05%
iter 35: loss 7.1451, time 95.98ms, mfu 2.05%
iter 36: loss 7.1721, time 95.07ms, mfu 2.05%
iter 37: loss 7.1105, time 95.21ms, mfu 2.05%
iter 38: loss 6.9460, time 95.21ms, mfu 2.05%
iter 39: loss 6.7073, time 95.28ms, mfu 2.05%
iter 40: loss 6.7311, time 95.17ms, mfu 2.05%
iter 41: loss 6.6449, time 95.32ms, mfu 2.05%
iter 42: loss 6.6046, time 95.18ms, mfu 2.05%
iter 43: loss 6.4218, time 95.24ms, mfu 2.05%
iter 44: loss 6.3157, time 95.16ms, mfu 2.05%
iter 45: loss 6.1953, time 95.29ms, mfu 2.05%
iter 46: loss 6.1169, time 95.18ms, mfu 2.05%
iter 47: loss 6.2183, time 95.68ms, mfu 2.05%
