Number of parameters: 24,627,840
Attention order: 3
step 0: train loss 10.8512, val loss 10.8424
iter 0: loss 10.8662, time 58313.41ms, mfu -100.00%
iter 1: loss 10.8532, time 1191.31ms, mfu -100.00%
iter 2: loss 10.8420, time 1372.86ms, mfu -100.00%
iter 3: loss 10.7948, time 1372.31ms, mfu -100.00%
iter 4: loss 10.7116, time 1373.89ms, mfu -100.00%
iter 5: loss 10.6372, time 1374.77ms, mfu 0.14%
iter 6: loss 10.4568, time 1374.15ms, mfu 0.14%
iter 7: loss 10.2075, time 1374.47ms, mfu 0.14%
iter 8: loss 10.3138, time 1374.69ms, mfu 0.14%
iter 9: loss 10.1309, time 1373.72ms, mfu 0.14%
iter 10: loss 9.9587, time 1372.53ms, mfu 0.14%
iter 11: loss 9.9361, time 1374.47ms, mfu 0.14%
iter 12: loss 9.7374, time 1374.64ms, mfu 0.14%
iter 13: loss 9.7452, time 1375.27ms, mfu 0.14%
iter 14: loss 9.6313, time 1376.22ms, mfu 0.14%
iter 15: loss 9.5564, time 1377.41ms, mfu 0.14%
iter 16: loss 9.4636, time 1375.53ms, mfu 0.14%
iter 17: loss 9.4794, time 1376.01ms, mfu 0.14%
iter 18: loss 9.1594, time 1377.07ms, mfu 0.14%
iter 19: loss 9.1191, time 1375.12ms, mfu 0.14%
iter 20: loss 9.1286, time 1375.66ms, mfu 0.14%
iter 21: loss 9.0489, time 1377.23ms, mfu 0.14%
iter 22: loss 8.9190, time 1381.01ms, mfu 0.14%
iter 23: loss 8.8187, time 1377.74ms, mfu 0.14%
iter 24: loss 8.7006, time 1377.74ms, mfu 0.14%
iter 25: loss 8.5726, time 1378.07ms, mfu 0.14%
iter 26: loss 8.5364, time 1379.21ms, mfu 0.14%
iter 27: loss 8.1703, time 1381.31ms, mfu 0.14%
iter 28: loss 8.2478, time 1381.76ms, mfu 0.14%
iter 29: loss 8.0641, time 1379.67ms, mfu 0.14%
iter 30: loss 7.9675, time 1385.13ms, mfu 0.14%
iter 31: loss 7.6834, time 1382.53ms, mfu 0.14%
iter 32: loss 7.7252, time 1383.04ms, mfu 0.14%
iter 33: loss 7.5474, time 1385.55ms, mfu 0.14%
iter 34: loss 7.5288, time 1385.60ms, mfu 0.14%
iter 35: loss 7.3072, time 1387.02ms, mfu 0.14%
iter 36: loss 7.0325, time 1386.11ms, mfu 0.14%
iter 37: loss 7.1162, time 1388.93ms, mfu 0.14%
iter 38: loss 6.9930, time 1386.63ms, mfu 0.14%
iter 39: loss 7.0205, time 1390.18ms, mfu 0.14%
iter 40: loss 6.7040, time 1393.56ms, mfu 0.14%
iter 41: loss 6.5484, time 1390.98ms, mfu 0.14%
iter 42: loss 6.3767, time 1393.04ms, mfu 0.14%
iter 43: loss 6.5659, time 1397.28ms, mfu 0.14%
iter 44: loss 6.4169, time 1399.98ms, mfu 0.14%
