Number of parameters: 24,627,840
Attention order: 3
step 0: train loss 10.8512, val loss 10.8424
iter 0: loss 10.8662, time 59738.79ms, mfu -100.00%
iter 1: loss 10.8532, time 1223.61ms, mfu -100.00%
iter 2: loss 10.8420, time 1411.86ms, mfu -100.00%
iter 3: loss 10.7948, time 1411.60ms, mfu -100.00%
iter 4: loss 10.7116, time 1416.47ms, mfu -100.00%
iter 5: loss 10.6372, time 1415.54ms, mfu 0.14%
iter 6: loss 10.4568, time 1417.69ms, mfu 0.14%
iter 7: loss 10.2075, time 1419.18ms, mfu 0.14%
iter 8: loss 10.3138, time 1452.51ms, mfu 0.14%
iter 9: loss 10.1309, time 1510.57ms, mfu 0.14%
iter 10: loss 9.9587, time 1506.36ms, mfu 0.14%
iter 11: loss 9.9361, time 2313.91ms, mfu 0.13%
iter 12: loss 9.7374, time 2509.68ms, mfu 0.13%
iter 13: loss 9.7452, time 1757.18ms, mfu 0.13%
iter 14: loss 9.6313, time 3611.00ms, mfu 0.12%
iter 15: loss 9.5564, time 4808.87ms, mfu 0.11%
iter 16: loss 9.4636, time 4251.90ms, mfu 0.10%
iter 17: loss 9.4794, time 1558.79ms, mfu 0.11%
iter 18: loss 9.1594, time 1752.82ms, mfu 0.11%
iter 19: loss 9.1191, time 2956.53ms, mfu 0.10%
iter 20: loss 9.1286, time 4809.55ms, mfu 0.10%
iter 21: loss 9.0489, time 4808.16ms, mfu 0.09%
iter 22: loss 8.9190, time 4809.22ms, mfu 0.09%
iter 23: loss 8.8187, time 4807.93ms, mfu 0.08%
iter 24: loss 8.7006, time 4807.12ms, mfu 0.08%
iter 25: loss 8.5726, time 4546.88ms, mfu 0.07%
iter 26: loss 8.5364, time 1787.91ms, mfu 0.08%
iter 27: loss 8.1703, time 4807.51ms, mfu 0.07%
iter 28: loss 8.2478, time 4809.83ms, mfu 0.07%
iter 29: loss 8.0641, time 4806.28ms, mfu 0.07%
iter 30: loss 7.9675, time 4809.01ms, mfu 0.07%
iter 31: loss 7.6834, time 4814.44ms, mfu 0.06%
iter 32: loss 7.7252, time 4807.12ms, mfu 0.06%
iter 33: loss 7.5474, time 4808.45ms, mfu 0.06%
iter 34: loss 7.5288, time 4808.62ms, mfu 0.06%
iter 35: loss 7.3072, time 4806.57ms, mfu 0.06%
iter 36: loss 7.0325, time 4807.94ms, mfu 0.05%
iter 37: loss 7.1162, time 4809.10ms, mfu 0.05%
iter 38: loss 6.9930, time 4808.46ms, mfu 0.05%
iter 39: loss 7.0205, time 4808.12ms, mfu 0.05%
iter 40: loss 6.7040, time 1957.47ms, mfu 0.06%
iter 41: loss 6.5484, time 3188.71ms, mfu 0.06%
iter 42: loss 6.3767, time 4827.30ms, mfu 0.05%
iter 43: loss 6.5659, time 4842.54ms, mfu 0.05%
iter 44: loss 6.4169, time 4116.19ms, mfu 0.05%
